Categoria,English,Portuguese,Spanish,French,German,Italian
Hotel and Hosting,I need more towels,Preciso de mais toalhas,Necesito más toallas,J’ai besoin de plus de serviettes,Ich brauche mehr Handtücher,Ho bisogno di più asciugamani
Hotel and Hosting,Is breakfast included?,Tem café da manhã incluido?,¿Incluye desayuno?,Le petit déjeuner est-il inclus ?,Ist Frühstück inbegriffen?,La colazione è inclusa?
Hotel and Hosting,Is the Wi-Fi free?,O Wi-Fi é gratuito?,¿El Wi-Fi es gratis?,Le Wi-Fi est-il gratuit ?,Ist das WLAN kostenlos?,Il Wi-Fi è gratuito?
Hotel and Hosting,Can you wake me at 7am?,Pode acordar-me às 7h?,¿Puede despertarme a las 7?,Pouvez-vous me réveiller à 7h ?,Können Sie mich um 7 Uhr wecken?,Può svegliarmi alle 7?
Hotel and Hosting,Is there room service?,Tem serviço de quarto?,¿Hay servicio de habitaciones?,Y a-t-il un service d’étage ?,Gibt es Zimmerservice?,C’è il servizio in camera
Hotel and Hosting,Room key,Chave do quarto,Llave de la habitación,Clé de la chambre,Zimmerschlüssel,Chiave della stanza
Emergencies,Help!,Ajuda!,¡Ayuda!,À l’aide !,Hilfe!,Aiuto!
Emergencies,Call the police,Chame a polícia,Llame a la policía,Appelez la police,Rufen Sie die Polizei,Chiami la polizia
Emergencies,I need a doctor,Preciso de um médico,Necesito un médico,J’ai besoin d’un médecin,Ich brauche einen Arzt,Ho bisogno di un medico
Emergencies,I am lost,Estou perdido(a),Estoy perdido(a),Je suis perdu(e),Ich habe mich verirrt,Mi sono perso(a)
Emergencies,It’s an emergency,É uma emergência,Es una emergencia,C’est une urgence,Es ist ein Notfall,È un’emergenza
Emergencies,Watch out!,Cuidado!,¡Cuidado!,Attention !,Vorsicht!,Attento!
Emergencies,Fire!,Fogo!,¡Fuego!,Au feu !,Feuer!,Fuoco!
Emergencies,I need help now,Preciso de ajuda agora,Necesito ayuda ahora,J’ai besoin d’aide maintenant,Ich brauche jetzt Hilfe,Ho bisogno di aiuto adesso
Emergencies,Where is the hospital?,Onde está o hospital?,¿Dónde está el hospital?,Où est l’hôpital ?,Wo ist das Krankenhaus?,Dove si trova l’ospedale?
Emergencies,I lost my documents,Perdi meus documentos,Perdí mis documentos,J’ai perdu mes papiers,Ich habe meine Dokumente verloren,Ho perso i miei documenti
Health,I am sick,Estou doente,Estoy enfermo(a),Je suis malade,Ich bin krank,Sono malato(a)
Health,I have a headache,Tenho dor de cabeça,Tengo dolor de cabeza,J’ai mal à la tête,Ich habe Kopfschmerzen,Ho mal di testa
Health,I have a fever,Tenho febre,Tengo fiebre,J’ai de la fièvre,Ich habe Fieber,Ho la febbre
Health,I am allergic,Sou alérgico(a),Soy alérgico(a),Je suis allergique,Ich bin allergisch,Sono allergico(a)
Health,I need medicine,Preciso de um remédio,Necesito medicina,J’ai besoin de médicaments,Ich brauche Medikamente,Ho bisogno di medicine
Health,Can you take me to the hospital?,Pode me levar ao hospital?,¿Puede llevarme al hospital?,Pouvez-vous m’emmener à l’hôpital ?,Können Sie mich ins Krankenhaus bringen?,Può portarmi in ospedale?
Health,I am feeling unwell,Estou me sentindo mal,Me siento mal,Je me sens mal,Mir ist schlecht,Mi sento male
Health,Where is the nearest pharmacy?,Onde é a farmácia mais próxima?,¿Dónde está la farmacia más cercana?,Où est la pharmacie la plus proche ?,Wo ist die nächste Apotheke?,Dove si trova la farmacia più vicina?
Health,I have a stomach ache,Tenho dor no estômago,Tengo dolor de estómago,J’ai mal à l’estomac,Ich habe Magenschmerzen,Ho mal di stomaco
Health,My health insurance,Meu seguro de saúde,Mi seguro de salud,Mon assurance santé,Meine Krankenversicherung,La mia assicurazione sanitaria
Casual Conversation,Where are you from?,De onde você é?,¿De dónde es?,D’où venez-vous ?,Woher kommen Sie?,Di dove sei?
Casual Conversation,What do you do?,O que você faz?,¿A qué se dedica?,Que faites-vous ?,Was machen Sie beruflich?,Che lavoro fai?
Casual Conversation,Do you like it here?,Você gosta daqui?,¿Le gusta aquí?,Vous aimez ici ?,Gefällt es Ihnen hier?,Ti piace qui?
Casual Conversation,It is hot today,Está quente hoje,Hace calor hoy,Il fait chaud aujourd’hui,Es ist heute heiß,Fa caldo oggi
Casual Conversation,It is cold today,Está frio hoje,Hace frío hoy,Il fait froid aujourd’hui,Es ist heute kalt,Fa freddo oggi
Casual Conversation,What time is it?,Que horas são?,¿Qué hora es?,Quelle heure est-il ?,Wie spät ist es?,Che ore sono?
Casual Conversation,Good luck,Boa sorte,Buena suerte,Bonne chance,Viel Glück,Buona fortuna
Casual Conversation,Happy birthday,Feliz aniversário,Feliz cumpleaños,Joyeux anniversaire,Alles Gute zum Geburtstag,Buon compleanno
Casual Conversation,Enjoy your meal,Bom apetite,Buen provecho,Bon appétit,Guten Appetit,Buon appetito
Casual Conversation,Have a nice day,Tenha um bom dia,Que tenga un buen día,Bonne journée,Schönen Tag noch,Buona giornata
