Categoria,Posicao,Cod_dekoreba,English,Portuguese,Spanish,French,German,Italian
pronomes,1,17,my,meu,mi,ma,mein,i miei
pronomes,2,17,mine,minha,mis,mes,meine,il mio
pronomes,3,17,pally,meus,lo mío,mon,meiner,la mia
pronomes,1,18,my,meu,mi,mon,mein,mio
pronomes,2,18,mine,minha,de mí,ma,meine,mia
pronomes,1,19,my,meus,mis,mes,meine,mie
pronomes,2,19,mine,minhas,de mí,mien,mein,miei
pronomes,3,19,-,meu,mío,à moi,meins,mio
pronomes,1,20,my,meus,mis,mes,meine,mie
pronomes,2,20,mine,minhas,de mí,mien,mein,miei
pronomes,3,20,-,meu,mío,à moi,meins,mio
pronomes,1,21,you,seu,su,bande de,du,sua
pronomes,2,21,his,dela,sus,espèce de,sein,sue
pronomes,3,21,her,seus,tu,sa,seine,suo
pronomes,1,22,her,seu,su,son,ihr,suo
pronomes,2,22,his,sua,sus,leur,ihrige,tuo
pronomes,1,23,their,seu,su,leur,ihr,i loro
pronomes,2,23,her,seus,sus,leurs,ihre,il loro
pronomes,3,23,his,característico da gota,tofo,ses,Tophus,la loro
pronomes,1,25,our,nossa,nuestra,nos,unser,i nostri
pronomes,2,25,ours,nossas,nuestras,notre,unsere,il nostro
pronomes,3,25,-,nosso,nuestro,à nous,-,la nostra
pronomes,1,26,our,nossa,nuestra,nos,unser,i nostri
pronomes,2,26,aah,nossas,nuestras,notre,oh mein Gott,il nostro
pronomes,3,26,gosh,nosso,nuestro,bon sang,wow,la nostra
pronomes,1,27,our,nossa,nuestra,nos,unser,i nostri
pronomes,2,27,ours,nossas,nuestras,notre,unsere,il nostro
pronomes,3,27,-,nosso,nuestro,-,-,la nostra
pronomes,1,28,our,nossa,nuestra,nos,unser,i nostri
pronomes,2,28,-,nossas,nuestras,notre,-,il nostro
pronomes,3,28,-,nosso,nuestro,-,-,la nostra
pronomes,1,29,that,aquela,aquel,cela,diese,quella
pronomes,2,29,this,aquelas,aquella,ça,dieser,quello
pronomes,3,29,ess,aquele,aquellas,celui-ci,dieses,questo
pronomes,1,30,that,aquela,aquel,cela,diese,quella
pronomes,2,30,catafalque,aquelas,aquella,ça,dieser,quello
pronomes,1,31,it,isso,eso,ce,das,essa
pronomes,2,31,this,ela,ello,ceci,dasjenige,esso
pronomes,3,31,that,ele,ella,cela,derjenige,la
pronomes,1,32,that,aquela,aquel,cela,diese,quella
pronomes,2,32,which,aquelas,aquella,ça,dieser,quello
pronomes,3,32,that one,aquele,aquellas,laquelle,dieses,i quali
pronomes,1,33,that,aquela,aquel,cela,diese,quella
pronomes,2,33,which,aquelas,aquella,ça,dieser,quello
pronomes,3,33,yon,aquele,aquellas,laquelle,dieses,i quali
pronomes,1,34,that,aquilo,aquel,ce,jenes,quella
pronomes,2,34,yon,aquela,aquél,cela,-e,quello
pronomes,1,35,someone,alguém,alguno,quelqu’un,irgend jemand,qualcuno
pronomes,2,35,somebody,indivíduo,alguien,un,irgendeiner,facoltativo
pronomes,3,35,a,pessoa,alma,homme,jemand,qualche
pronomes,1,36,no one,ninguém,nadie,personne,niemand,nessuna
pronomes,2,36,none,zé-ninguém,don nadie,ne personne,keiner,nessuno
pronomes,1,37,other,outro,otra,autre,andere,altro
pronomes,2,37,additional,diferente,otro,autrui,anderer,diversi
pronomes,3,37,another,diverso,demás,qui reste,anderes,altra
pronomes,1,38,other,outra,existente,infection ajoutée,Superinfektion,superinfezione
pronomes,2,38,secondary infection,já existente,superinfección,surinfection,ander,altra
pronomes,3,38,superinfection,superinfecção,otra,autre,andere,altro
pronomes,1,39,sure,certo,seguro,sûr,sicher,certa
pronomes,2,39,benign,seguro,cierto,sûre,bestimmt,certo
pronomes,3,39,certain,benigno,de confianza,précis,gefahrlos,sicura
pronomes,1,41,much,muita,mucho,beaucoup de,viel,molto
pronomes,2,41,a good deal,muito,muchisimo,beaucoup,sehr viel,assai
pronomes,3,41,a great deal,um monte de,cantidades,maint,vielmals,grandemente
pronomes,1,43,any,algum,alguna,quelconque,beliebiger,qualsiasi
pronomes,2,43,any at all,qualquer,algún,le moindre,ein,chiunque
pronomes,3,43,arbitrary,um,cualquier,n’importe quel,einige,alcuni
pronomes,1,44,such,tal,así,ainsi,derartig,cosi
pronomes,2,44,like this,assim,tal,tel,solch,tale
pronomes,3,44,so,tanto,tales,tellement,solche,quello
pronomes,1,45,everything,tudo,todo,tout,alles,tutto
pronomes,2,45,all,toda,toda,tous pirrjimar,alle,ogni cosa
pronomes,3,45,altogether,todas pirrjimar,todas pirrjimar,toute,all,tutti
pronomes,1,46,nothing,nada,nada,rien,nichts,niente
pronomes,2,46,zero,zero,cero,zéro,Null,stato negativo
pronomes,3,46,naught,em alguma,nula,néant,NaN,nulla
pronomes,1,47,something,algo,algo,quelque chose,etwas,qualcosa
pronomes,2,47,a little,alguma coisa,alguna cosa,médiateur,einiges,qualche còsa
pronomes,3,47,anything,certas coisas,algunas cosas,quelque peu,irgendwas,qualcòsa
pronomes,1,48,every,cada,cada,chaque,jedes,ogni
pronomes,2,48,each,neurite múltipla,polineuritis,de pus en plus,jede,polineurite
pronomes,3,48,a,polinevrite,cada uno,névrite de plusieurs nerfs,jeder,qualunque
pronomes,1,49,who,quem,quién,qui,wer,chi
pronomes,2,49,whom,que,quiénes,qui est-ce qui,das,cui
pronomes,3,49,that,o que,quien,mu,der,cé
pronomes,1,50,too,demais,demasiado,trop,zu,troppo
pronomes,2,50,too many,muito,además,excessivement,zuviel,inoltre
pronomes,3,50,too much,demasiadamente,es más,d’ailleurs,zu viel,d’altronde
conjuncoes,1,51,till,até,hasta,jusqu’à,bis,fino a
conjuncoes,2,51,until,ainda,para,à,auf,anzi
conjuncoes,3,51,as far as,até agora,incluso,même,nach,perfino
conjuncoes,1,52,with,com,con,avec,mit,con
conjuncoes,2,52,aboard,a,a,à,bei,a
conjuncoes,3,52,all,a fim de,a fin de,de,an,dentro
conjuncoes,1,53,against,contra,contra,contre,gegen,contro
conjuncoes,2,53,fight,combater,versus,en face de,kontra,combattere
conjuncoes,3,53,contrary to,lutar com,en contra,contrairement à,entgegen,in confronto
conjuncoes,1,54,of,de,de,de,von,da
conjuncoes,2,54,from,a respeito de,de nadie,de personne,aus,di
conjuncoes,3,54,chemotherapeutic,acerca de,las células de un cáncer,hors de,der,chimioterapico
conjuncoes,1,55,since,a partir de,desde,depuis,seit,da
conjuncoes,2,55,for,desde,después de,dès,ab,da allora
conjuncoes,3,55,from,de,a partir de,à partir de,aus,perchè
conjuncoes,1,56,on,em,en,sur,über,in
conjuncoes,2,56,in,a,sobre,dans,in,a
conjuncoes,3,56,at,a fim de,a,en,an,dentro
conjuncoes,1,57,among,entre,entre,parmi,unter,sotto
conjuncoes,2,57,between,a,en,entre,zwischen,tra
conjuncoes,3,57,aboard,ao pé de,en casa de,sur,an,fra
conjuncoes,1,58,for,para,a,pour,nach,per
conjuncoes,2,58,aboard,a,a fin de,à,zu,a
conjuncoes,3,58,all,a fim de,a razón de,envers,für,dentro
conjuncoes,1,59,above,antes de,antes de,avant,vor,prima di
conjuncoes,2,59,ahead of,diante de,delante de,devant,vorn,davanti a
conjuncoes,3,59,before,em frente de,delante,vis-à-vis,zuvor,prima
conjuncoes,1,60,for,por,por,pour,für,stato negativo
conjuncoes,2,60,per,para,nulo,au lieu de,wegen,presso
conjuncoes,3,60,through,em troca de,por medio de,à cause de,durch,costituire
conjuncoes,1,61,without,sem,sin,sans,ohne,senza
conjuncoes,2,61,with no,-,pausadamente,silencieusement,leer,in-
conjuncoes,3,61,devoid,-,-,hormis,los,dis-
conjuncoes,1,62,under,sob,bajo,sous,unter,sotto
conjuncoes,2,62,below,abaixo de,debajo de,en dessous,unterhalb,là sotto
conjuncoes,3,62,beneath,debaixo de,debajo,dessous,darunter,abbasso
conjuncoes,1,63,about,sobre,sobre,au sujet,über,sopra
conjuncoes,2,63,above,acima,en,sur,auf,su
conjuncoes,3,63,on,na,a,au-dessus de,an,a
conjuncoes,1,64,after,trás,tras,en arrière,rückwärts,indietro
conjuncoes,2,64,behind,atrás,atrás,-,-,dietro
conjuncoes,3,64,aback,para,hacia atrás,-,-,all'indietro
conjuncoes,1,65,during,durante,durante,durant,während,laddove
conjuncoes,2,65,for,por,a lo largo de,pendant,als,durante
preposicoes,1,66,and,e,e,et,und,e ed
preposicoes,2,66,both,mais,i,périnéal,den Damm betreffend,e
preposicoes,3,66,that,homem,sound,et puis,perineal,perineale
preposicoes,1,67,not even,nem,ni siquiera,même pas,nicht einmal,nemmeno
preposicoes,2,67,nor,nem ao menos,ni,ni,weder,neanche
preposicoes,3,67,neither,nem mesmo,no po,nu,weder X noch Y,nè
preposicoes,1,68,but,mas,pero,cependant,aber,ma
preposicoes,2,68,only,porém,ojalá,mais,oba,però
preposicoes,3,68,but then,no entanto,mas,au contraire,dennoch,tuttavia
preposicoes,1,69,but,mas,pero,cependant,aber,ma
preposicoes,2,69,but then,porém,sin embargo,mais,oba,però
preposicoes,3,69,all the same,no entanto,mas,néanmoins,dennoch,tuttavia
preposicoes,1,70,nevertheless,apesar de,sin embargo,néanmoins,nichtsdestoweniger,nondimeno
preposicoes,2,70,but,contudo,pero,cependant,allein,ma
preposicoes,3,70,however,não obstante,no obstante,pourtant,dagegen,però
preposicoes,1,71,yet,todavia,aún,cependant,dagegen,anche
preposicoes,2,71,nevertheless,contudo,todavía,néanmoins,dennoch,ancora
preposicoes,3,71,nonetheless,mas,todavia,pourtant,doch,tuttora
preposicoes,1,72,however,no entanto,sin embargo,cependant,jedoch,nonostante
preposicoes,2,72,though,não obstante,no obstante,néanmoins,dennoch,però
preposicoes,3,72,nevertheless,mas,a pesar de eso,pourtant,trotzdem,comunque
preposicoes,1,73,or,ou,o,ou,oder,o
preposicoes,2,73,either,contratura,u,ou bien,Kontraktur,od
preposicoes,3,73,contracture,mais,contractura,contraction prolongée,Fistel,oppure
preposicoes,1,74,inasmuch as,porquanto,por cuanto,attendu que,weil,dal momento che
preposicoes,2,74,as,dado que,dado que,car,-,dato che
preposicoes,3,74,because,já que,porque,comme,-,giacché
preposicoes,1,75,because,já que,porque,car,da,perché
preposicoes,2,75,for,porque,ya que,en raison parce que,denn,poiché
preposicoes,3,75,since,pois,como,parce que,weil,considerato che
preposicoes,1,76,since,pois,dado que,puisque,weil,bene
preposicoes,2,76,because,porque,porque,car,denn,benessere
preposicoes,3,76,now,visto que,visto que,parce que,wegen,pozzo
preposicoes,1,77,because,já que,porque,car,da,perché
preposicoes,2,77,as long as,porque,ya que,en raison parce que,denn,dal momento che
preposicoes,3,77,in that,dado que,por cuanto que,parce que,weil,dato che
preposicoes,1,78,as,visto que,porque,car,weil,siccome
preposicoes,2,78,since,pois,dado que,puisque,da,considerato che
preposicoes,3,78,because,porque,visto que,comme,denn,visto che
preposicoes,1,79,as,como,como,comme,wie,come
preposicoes,2,79,how,quanto,cómo,que,als,Sei grande come me
preposicoes,3,79,like,quão,qué,comment,da,quanto
preposicoes,1,80,but,embora,aunque,bien que,obwohl,ma
preposicoes,2,80,although,conquanto,vamos,quoique,obschon,però
preposicoes,3,80,while,malgrado,ya,tandis que,trotzdem,tuttavia
preposicoes,1,81,although,ainda que,aunque,bien que,obgleich,benché
preposicoes,2,81,notwithstanding,conquanto,aun cuando,encore que,obschon,sebbene
preposicoes,3,81,though,embora,a pesar de,même si,obwohl,seppure
preposicoes,1,82,if,mesmo que,aunque,bien que,obgleich,benché
preposicoes,1,83,you,se,se,on,man,si
preposicoes,2,83,they,a,si,si,ob,se
preposicoes,3,83,whether,excretam normalmente,que,à condition que,wenn,ritenzione
preposicoes,1,84,case,caso,caso,cas,Fall,caso
preposicoes,2,84,affair,artigo,asunto,chose,Kasus,affare
preposicoes,3,84,article,assunto,cosa,affaire,Affäre,cosa
preposicoes,1,85,since,a partir de quando,desde que,dès,seitdem,da quando
preposicoes,1,86,inasmuch,contanto que,con tal de que,du moment que,solange,purché
preposicoes,1,87,unless,a menos que,a menos que,à moins que,wenn nicht,a meno che
preposicoes,2,87,except,a não ser que,a no ser que,sauf si,es sei denn,tranne che
preposicoes,3,87,at least if,-,-,-,-,se non
preposicoes,1,88,when,quando,cuando,quand,als,quando
preposicoes,2,88,as,instante,el cuando,dès que,sobald,laddove
preposicoes,3,88,what time,momento,cuándo,lorsque,wann,appena che
preposicoes,1,89,whenever,sempre que,siempre que,n’importe quand,wann immer,ogni volta che
preposicoes,2,89,wherever,toda vez que,cada vez,à condition que,falls,ogni volta
preposicoes,1,90,as,enquanto,mientras,lorsque,während,mentre
preposicoes,2,90,while,ao longo de,mientras que,pendant que,solange,altrettanto
preposicoes,3,90,during,daquela maneira,entretanto,tandis que,wogegen,come
preposicoes,1,91,as,assim que,en cuanto,au moment où,als,quando
preposicoes,1,93,before,antes que,antes de,avant de,bevor,avanti che
preposicoes,2,93,prior,antes de,antes de que,avant que,ehe,prima che
preposicoes,3,93,-,-,antes que,-,-,prima di
preposicoes,1,96,where,de onde,donde,là où,wo,dove
preposicoes,2,96,wherein,onde,dónde,où,woher,amnios
preposicoes,3,96,amnion,aonde,adónde,amnios,wohin,che contiene il feto
preposicoes,1,97,where,aonde,adonde,vers où,wohin,dove
preposicoes,2,97,whither,de onde,adónde,où,wo,laddove
preposicoes,3,97,which way,onde,de dónde,en quel lieu,woher,per dove
preposicoes,1,98,conformable,conforme,conforme,conforme,als,conforme
preposicoes,2,98,accordant,concorde,acorde,d’après,gemäß,affine
preposicoes,3,98,consonant,congênere,concorde,selon,nach,analogo
preposicoes,1,99,second,segundo,segunda,deuxième,zweiter,seconda
preposicoes,2,99,latter,segunda,segundo,second,gemäß,secondo
preposicoes,3,99,according to,última,acorde a,seconde,laut,a seconda
preposicoes,1,101,though,apesar de,a pesar de,bien que,obwohl,anche se
preposicoes,2,101,nevertheless,contudo,sin embargo,cependant,nichtsdestoweniger,nondimeno
preposicoes,3,101,despite,não obstante,pese a,malgré,trotz,ciononostante
preposicoes,1,102,though,no entanto,no obstante,néanmoins,nichtsdestoweniger,comunque
preposicoes,2,102,nevertheless,não obstante,sin embargo,malgré,obgleich,nonostante
preposicoes,3,102,despite,apesar de,a pesar de,cependant,obwohl,nondimeno
preposicoes,1,104,aboard,a,a,à,an,a
preposicoes,2,104,all,a fim de,a fin de,pour,auf,dentro
preposicoes,3,104,alongside,a por,a razón de,afin que,bei,affinché
preposicoes,1,105,therefore,portanto,por lo tanto,donc,also,dunque
preposicoes,2,105,ergo,logo,por tanto,aussi,dafür,quindi
preposicoes,3,105,so,assim,por ende,c’est pourquoi,daher,così
preposicoes,1,106,then,então,entonces,alors,damals,allora
preposicoes,2,106,at that time,naquela época,pues,à cette époque-là,dann,poi
preposicoes,3,106,so,naquele tempo,así que,à cette époquelà,als,quindi
preposicoes,1,107,thus,assim,así,ainsi,so,cosÌ
preposicoes,2,107,so,daquela maneira,de este modo,comme,folgendermaßen,così
preposicoes,3,107,such,desta maneira,tan,tellement,wie folgt,cosi
preposicoes,1,108,so,assim,así,ainsi,so,cosÌ
preposicoes,2,108,such,daquela maneira,de este modo,comme,also,così
substantivos,1,109,avocado,abacate,aguacate,avocat,Avocado,avocado
substantivos,2,109,alligator pear,pêra abacate,cura,avocatier,Alligatorbirne,pera alligatore
substantivos,3,109,avocado pear,abacateiro,palta,persea americana,Avocadobaum,pera avocado
substantivos,1,110,bee,abelha,abeja,abeille,Biene,ape
substantivos,2,110,honeybee,Apidae,Apidae,abeille à miel,Imme,Apidae
substantivos,3,110,Apidae,vespa,abejas,Apidae,Apidae,api
substantivos,1,111,sugar,açúcar,azúcar,sucre,Zucker,zucchero
substantivos,2,111,jaggery,açúcar branco,azúcar blanco,jagre,Jagrezucker,zucchero bianco
substantivos,3,111,raw sugar,açúcar não refinado,azúcar crudo,sucre blanc,Rohzucker,zucchero di canna integrale
substantivos,1,112,management,administração,gestión,administration,Führung,amministrazione
substantivos,2,112,administration,local de administração,administración,gestion,Handhabung,direzione
substantivos,3,112,governance,sede de adminstração,gobierno,conseil d’administration,Leitung,gestione
substantivos,1,113,water,água,agua,eau,Wasser,acqua
substantivos,2,113,liquid,presepe,H2O,onde,bewässern,diluviare
substantivos,3,113,body of water,a do ó,masa de agua,Eau de table,Gewässer,annaffiare
substantivos,1,114,joy,alegria,alegría,bonheur,Freude,gioia
substantivos,2,114,happiness,prazer,felicidad,joie,Fröhlichkeit,piacere
substantivos,3,114,delight,felicidade,gozo,allégresse,Glück,felicità
substantivos,1,115,lettuce,alface,lechuga,laitue,Kopfsalat,insalata
substantivos,2,115,lettuces,-,lechugas,salade,Salat,lattuga
substantivos,3,115,butterhead lettuce,-,lactuca sativa,Salade romaine,Lattich,lattughe
substantivos,1,116,feed,alimentação,alimentación,alimentation,Essen,alimentazione
substantivos,2,116,food,alimento,nutrición,nutrition,Fütterung,ingestione
substantivos,3,116,input,comida,alimento,aliment,Einspeisung,mangiare
substantivos,1,117,friendship,amizade,amistad,amitié,Freundschaft,amicizia
substantivos,2,117,amity,afeição,simpatía,amabilité,Kameradschaft,amichevolezza
substantivos,3,117,friendliness,amigo,amigo,aménité,Freundlichkeit,affabilità
substantivos,1,118,love,amor,amor,amour,Liebe Zuneigung,amore
substantivos,2,118,affection,afeição,afección,chaleur,Liebe,amare
substantivos,3,118,tenderness,apego,afecto,tendresse,Lieber,affettuosità
substantivos,1,119,angel,anjo,ángel,ange,Engel,angelo
substantivos,2,119,backer,Anjos,mensajero de Dios,backer,Liebchen,Angelo
substantivos,3,119,holy man,santo,avelista,mister g,Liebling,sovvenzionatore
substantivos,1,120,ring,anel,anillo,anneau,Ring,anello
substantivos,2,120,link,argola,sortija,bague,Frühjahrsholz,cerchie annuali
substantivos,3,120,annual rings,anel anual de crescimento,anillo de crecimiento,boucle,Jahresring,cerchie di crescita del legno
substantivos,1,121,tapir,anta,danta Costa Rica,tapir,Tapir,tapiro
substantivos,2,121,dolmen,Anta,danto Nicaragua,dolmen,Hünengrab,dolmen
substantivos,1,122,apartment,apartamento,apartamento,appartement,Wohnung,appartamento
substantivos,2,122,flat,aposentos,departamento,domicile,Appartement,alloggiamento
substantivos,3,122,condo,casa,piso,logement,Etagenwohnung,alloggio
substantivos,1,123,apparatus,aparelho,aparato,appareil,Apparat,attrezzatura
substantivos,2,123,device,equipamento,dispositivo,engin,Gerät,impianto
substantivos,3,123,appliance,máquina,mecanismo,dispositif,System,apparecchio
substantivos,1,124,abashment,aperto,apuro,embarras,Hemmnis,premere
substantivos,2,124,difficulty,embaraço,perplejidad,difficulté,Lästiges,elsa
substantivos,3,124,embarrassment,estorvo,turbación,étreinte,Ratlosigkeit,perplessità
substantivos,1,125,support,apoio,apoyo,soutien,Stütze,sostegno
substantivos,2,125,advocacy,suporte,respaldo,appui,Unterstützung,appoggio
substantivos,3,125,backing,encosto,ayuda,assise,Abstützen,adesione
substantivos,1,126,retirement,aposentadoria,jubilación,retraite,Pensionierung,pensionamento
substantivos,1,127,apprenticeship,aprendizado,aprendizaje,apprentissage,Lehre,apprendistato
substantivos,2,127,education,Aprendizagem,beca,apprenti,Lehrzeit,cultura
substantivos,3,127,learning,aprendizagem,ciencia,apprentissage professionnel,Gelehrsamkeit,dottrina
substantivos,1,128,air,ar,aire,air,Luft,aria
substantivos,2,128,hamstring,respiração,atmósfera,contenance,Erscheinung,arietta
substantivos,3,128,midair,atmosfera,ambiente,atmosphes,Anschein,etere
substantivos,1,129,spider,aranha,araña,araignée,Spinne,ragno
substantivos,2,129,spiders,Araneae,Araneae,Araneae,Webspinnen,ragni
substantivos,3,129,Araneae,Aranhas,aranas,araneida,Araneae,Araneae
substantivos,1,130,rainbow,arco,arco iris,arc,Regenbogen,arcobaleno
substantivos,2,130,bow,Arco,arco,archet,Bogen,arco
substantivos,3,130,arc,arco e flecha,aro,arc de courbe,Kreisbogen,emiciclo
substantivos,1,131,craft,arte,arte,art,Handwerk,arte
substantivos,2,131,art,ofício,oficio,métier,Kunst,art
substantivos,3,131,skill,profissão,profesión,commerce,Handfertigkeit,commercio
substantivos,1,132,wing,ala,ala,aile,Flügel,ala
substantivos,2,132,handle,asa,aleta,anse,Schwinge,ali
substantivos,3,132,wings,-,alas,manche,Fittich,manico
substantivos,1,133,filling,atendimento,atención,soin,Pflege,assistenza
substantivos,2,133,service,assistência,cuidado,-,-,cura
substantivos,1,134,attention,atenção,atención,attention,Achtung,attenzione
substantivos,2,134,acuity,cuidado,interés,soin,Aufmerksamkeit,cura
substantivos,1,135,activity,atividade,actividad,activité,Aktivität,attività
substantivos,2,135,agency,actividade,acción,action,Tätigkeit,impegno
substantivos,3,135,business,ato,acto,acte,Handlung,azione
substantivos,1,136,atmosphere,atmosfera,atmósfera,atmosphère,Atmosphäre,atmosfera
substantivos,2,136,stratosphere,ambiente,ambiente,ambiance,Stratosphäre,stratosfera
substantivos,3,136,troposphere,estratosfera,estratósfera,stratosphère,Troposphäre,troposfera
substantivos,1,137,attractive,atrativo,atractivo,attirant,Lockmittel,istigare
substantivos,2,137,enticement,isca,incitar,attractif,Lockstoff,zimbellare
substantivos,3,137,allure,magnético,atraer,attrayant,Verlockung,ammaliamento
substantivos,1,138,authority,autoridade,autoridad,autorité,Autorität,autorità
substantivos,2,138,ascendance,competência,autoridad responsable de la política económica,authorité,Ansehen,onnipotenza
substantivos,3,138,ascendancy,autoridade decísória,encargado de formular la política,dirigeant,Einfluß,potere
substantivos,1,139,assessment,avaliação,estimación,évaluation,Bewertung,accertamento
substantivos,2,139,assay,cotação,valuación,appréciation,Beurteilung,stima
substantivos,3,139,judgement,taxação,valoración,entretien d’évaluation,Evaluation,valutazione
substantivos,1,140,avenue,avenida,avenida,avenue,Allee,corso
substantivos,2,140,mall,alameda,paseo,allée,Avenida,viale
substantivos,3,140,highway,bulevar,bulevar,boulevard,Avenue,boulevard
substantivos,1,141,aeroplane,avião,avión,avion,Flugzeug,aeroplano
substantivos,2,141,aircraft,aeroplano,aeroplano,aéronef,Flieger,aereo
substantivos,3,141,airplane,aeronave,aviòn,aéroplane,Maschine,aeromobili
substantivos,1,142,advocacy,aviso,admonición,recommandation,Tender,avviso
substantivos,2,142,alert,advertência,advertencia,avertissement,Empfehlung,raccomandazione
substantivos,3,142,caution,conselho,aviso,avis,Warnung,informativa
substantivos,1,143,accidence,acaso,acaso,hasard,Hasard,caso
substantivos,2,143,accident,azar,azar,malchance,Zufall,disgrazia
substantivos,3,143,chance,casualidade,mala suerte,mauvais sort,Missgeschick,sfortuna
substantivos,1,144,action,acção,acción,action,Akt,azione
substantivos,2,144,act,ação,acto,acte,Handlung,atto
substantivos,3,144,share,acto,obra,haut fait,Aktie,fatto
substantivos,1,145,abattoir,açougue,carnicería,abattoir,Schlachthaus,macelleria
substantivos,2,145,slaughterhouse,matadouro,matadero,boucherie,Schlachthof,ammazzatoio
substantivos,3,145,butchery,Matadouro,matadero de reses,capharnaüm,Schlachterei,macello
substantivos,1,146,eagle,águia,águila,aigle,Aar,aquila
substantivos,2,146,eagles,Águias,águila real,ai,Adler,aquile
substantivos,3,146,bird of Jove,Águia,-,pièce,Eagle,aquilotto
substantivos,1,147,alarm,alarme,alarma,alarme,Alarm,allarme
substantivos,2,147,alert,alarma,advertencia,alerte,Alarmanlage,alarmo
substantivos,3,147,alarum,Alarmes,aviso,alarum,Alarmsignal,avvisatore
substantivos,1,148,asylum,albergue,asilo,asile,Asyl,asilo
substantivos,2,148,sanctuary,asilo,refugio,abri,Azyl,ricovero
substantivos,3,148,hostel,guarida,albergue,refuge,Zufluchtsort,riparo
substantivos,1,149,customs,aduana,aduana,douane,Zoll,dogana
substantivos,2,149,custom-house,alfândega,pulgada,coutume,Zollgebühr,dazio
substantivos,3,149,Clearing House,polegada,-,coutumier,Zollgebühren,dazio doganale
substantivos,1,150,lavender,alfazema,lavanda fina,lavande,Lavendel,lavanda vera
substantivos,2,150,common lavender,lavanda,alhucema,aspic,Echter Lavendel,lavanda
substantivos,1,151,pin,alfinete,alfiler,épingle,Stecknadel,spillo
substantivos,2,151,needle,agulha,chincheta,broche,Nadel,ago
substantivos,3,151,pushpin,pino,aguja,punaise,Reißzwecke,spilla
substantivos,1,152,handcuffs,algema,esposas,menottes,Handschellen,manette
substantivos,2,152,shackle,ferros,cadenas,menotte,Handschelle,manetta
substantivos,3,152,shackles,Algemas,grillete,chaîne,Handfesseln,catena
substantivos,1,153,cotton,algodão,algodón,coton,Baumwolle,cotone
substantivos,2,153,raw cotton,Algodao,cotonada,coton hydrophile,Kattun,fibra
substantivos,3,153,cotton wool,lã,gossypium,ouate,Watte,filaccia
substantivos,1,154,soul,alma,alma,âme,Seele,anima
substantivos,2,154,spirit,espírito,espiritu,esprit,Geist,spirito
substantivos,3,154,mind,ânimo,espíritu,boute-en-train,Herz,animazione
substantivos,1,156,adjustment,alteração,editar,changement,bearbeiten,modificare
substantivos,2,156,edit,editar,alteración,modification,Änderung,alterazione
substantivos,3,156,change,ajuste,modificación,modifier,Abwandlung,cambiamento
substantivos,1,157,altitude,altura,altitud,altitude,Höhe,altezza
substantivos,2,157,elevation,altitude,altura,hauteur,Anhöhe,altitudine
substantivos,3,157,height,alto,elevación,taille,Erhebung,altura
substantivos,1,158,aluminium,alumínio,alumínio,aluminium,Aluminium,alluminio
substantivos,2,158,aluminum,al,aluminio,al,Al,al
substantivos,1,159,lover,amante,amante,amoureux,Geliebte,amante
substantivos,2,159,amour,amado,amado,amant,Freier,amico
substantivos,3,159,fan,namorada,amor,aimant,Liebender,amato
