Categoria,English,Portuguese,Spanish,French,German,Italian
pronomes,who,quem,quién,qui,wer,chi
pronomes,too,demais,demasiado,trop,zu,troppo
pronomes,her,suas,tú,leurs,Sie,-
conjuncoes,till,até,hasta,jusqu’à,bis,fino a
conjuncoes,with,com,con,avec,mit,con
conjuncoes,against,contra,contra,contre,gegen,contro
conjuncoes,of,de,de,de,von,da
conjuncoes,since,a partir de,desde,depuis,seit,da
conjuncoes,on,em,en,sur,über,in
conjuncoes,among,entre,entre,parmi,unter,sotto
conjuncoes,for,para,a,pour,nach,per
conjuncoes,above,antes de,antes de,avant,vor,prima di
conjuncoes,for,por,por,pour,für,stato negativo
conjuncoes,without,sem,sin,sans,ohne,senza
conjuncoes,under,sob,bajo,sous,unter,sotto
conjuncoes,about,sobre,sobre,au sujet,über,sopra
conjuncoes,after,trás,tras,en arrière,rückwärts,indietro
conjuncoes,during,durante,durante,durant,während,laddove
preposicoes,and,e,e,et,und,e ed
preposicoes,not even,nem,ni siquiera,même pas,nicht einmal,nemmeno
preposicoes,but,mas,pero,cependant,aber,ma
preposicoes,but,mas,pero,cependant,aber,ma
preposicoes,nevertheless,apesar de,sin embargo,néanmoins,nichtsdestoweniger,nondimeno
preposicoes,yet,todavia,aún,cependant,dagegen,anche
preposicoes,however,no entanto,sin embargo,cependant,jedoch,nonostante
preposicoes,or,ou,o,ou,oder,o
preposicoes,inasmuch as,porquanto,por cuanto,attendu que,weil,dal momento che
preposicoes,because,já que,porque,car,da,perché
preposicoes,since,pois,dado que,puisque,weil,bene
preposicoes,because,já que,porque,car,da,perché
preposicoes,as,visto que,porque,car,weil,siccome
preposicoes,as,como,como,comme,wie,come
preposicoes,but,embora,aunque,bien que,obwohl,ma
preposicoes,although,ainda que,aunque,bien que,obgleich,benché
preposicoes,if,mesmo que,aunque,bien que,obgleich,benché
preposicoes,you,se,se,on,man,si
preposicoes,case,caso,caso,cas,Fall,caso
preposicoes,since,a partir de quando,desde que,dès,seitdem,da quando
preposicoes,inasmuch,contanto que,con tal de que,du moment que,solange,purché
preposicoes,unless,a menos que,a menos que,à moins que,wenn nicht,a meno che
preposicoes,when,quando,cuando,quand,als,quando
preposicoes,whenever,sempre que,siempre que,n’importe quand,wann immer,ogni volta che
preposicoes,as,enquanto,mientras,lorsque,während,mentre
preposicoes,as,assim que,en cuanto,au moment où,als,quando
preposicoes,before,antes que,antes de,avant de,bevor,avanti che
preposicoes,where,de onde,donde,là où,wo,dove
preposicoes,where,aonde,adonde,vers où,wohin,dove
preposicoes,conformable,conforme,conforme,conforme,als,conforme
preposicoes,second,segundo,segunda,deuxième,zweiter,seconda
preposicoes,though,apesar de,a pesar de,bien que,obwohl,anche se
preposicoes,though,no entanto,no obstante,néanmoins,nichtsdestoweniger,comunque
preposicoes,aboard,a,a,à,an,a
preposicoes,therefore,portanto,por lo tanto,donc,also,dunque
preposicoes,then,então,entonces,alors,damals,allora
preposicoes,thus,assim,así,ainsi,so,cosÌ
preposicoes,so,assim,así,ainsi,so,cosÌ
preposicoes,as soon as,logo que,-,-,sobald,-
preposicoes,ever since,depois que,-,-,nachdem,-
preposicoes,until,até que,hasta,jusqu’au moment où,bis,-
preposicoes,-,mediante,mediante,moyennant,-,-
substantivos,avocado,abacate,aguacate,avocat,Avocado,avocado
substantivos,bee,abelha,abeja,abeille,Biene,ape
substantivos,sugar,açúcar,azúcar,sucre,Zucker,zucchero
substantivos,management,administração,gestión,administration,Führung,amministrazione
substantivos,water,água,agua,eau,Wasser,acqua
substantivos,joy,alegria,alegría,bonheur,Freude,gioia
substantivos,lettuce,alface,lechuga,laitue,Kopfsalat,insalata
substantivos,feed,alimentação,alimentación,alimentation,Essen,alimentazione
substantivos,friendship,amizade,amistad,amitié,Freundschaft,amicizia
substantivos,love,amor,amor,amour,Liebe Zuneigung,amore
substantivos,angel,anjo,ángel,ange,Engel,angelo
substantivos,ring,anel,anillo,anneau,Ring,anello
substantivos,tapir,anta,danta Costa Rica,tapir,Tapir,tapiro
substantivos,apartment,apartamento,apartamento,appartement,Wohnung,appartamento
substantivos,apparatus,aparelho,aparato,appareil,Apparat,attrezzatura
substantivos,abashment,aperto,apuro,embarras,Hemmnis,premere
substantivos,support,apoio,apoyo,soutien,Stütze,sostegno
substantivos,retirement,aposentadoria,jubilación,retraite,Pensionierung,pensionamento
substantivos,apprenticeship,aprendizado,aprendizaje,apprentissage,Lehre,apprendistato
substantivos,air,ar,aire,air,Luft,aria
substantivos,spider,aranha,araña,araignée,Spinne,ragno
substantivos,rainbow,arco,arco iris,arc,Regenbogen,arcobaleno
substantivos,craft,arte,arte,art,Handwerk,arte
substantivos,wing,ala,ala,aile,Flügel,ala
substantivos,filling,atendimento,atención,soin,Pflege,assistenza
substantivos,attention,atenção,atención,attention,Achtung,attenzione
substantivos,activity,atividade,actividad,activité,Aktivität,attività
substantivos,atmosphere,atmosfera,atmósfera,atmosphère,Atmosphäre,atmosfera
substantivos,attractive,atrativo,atractivo,attirant,Lockmittel,istigare
substantivos,authority,autoridade,autoridad,autorité,Autorität,autorità
substantivos,assessment,avaliação,estimación,évaluation,Bewertung,accertamento
substantivos,avenue,avenida,avenida,avenue,Allee,corso
substantivos,aeroplane,avião,avión,avion,Flugzeug,aeroplano
substantivos,advocacy,aviso,admonición,recommandation,Tender,avviso
substantivos,accidence,acaso,acaso,hasard,Hasard,caso
substantivos,action,acção,acción,action,Akt,azione
substantivos,abattoir,açougue,carnicería,abattoir,Schlachthaus,macelleria
substantivos,eagle,águia,águila,aigle,Aar,aquila
substantivos,alarm,alarme,alarma,alarme,Alarm,allarme
substantivos,asylum,albergue,asilo,asile,Asyl,asilo
substantivos,customs,aduana,aduana,douane,Zoll,dogana
substantivos,lavender,alfazema,lavanda fina,lavande,Lavendel,lavanda vera
substantivos,pin,alfinete,alfiler,épingle,Stecknadel,spillo
substantivos,handcuffs,algema,esposas,menottes,Handschellen,manette
substantivos,cotton,algodão,algodón,coton,Baumwolle,cotone
substantivos,soul,alma,alma,âme,Seele,anima
substantivos,adjustment,alteração,editar,changement,bearbeiten,modificare
substantivos,altitude,altura,altitud,altitude,Höhe,altezza
substantivos,aluminium,alumínio,alumínio,aluminium,Aluminium,alluminio
substantivos,lover,amante,amante,amoureux,Geliebte,amante
substantivos,wormwood,amargura,amargor,amertume,Bitterkeit,dolore
substantivos,ambition,ambição,ambición,ambition,Ambition,ambizione
substantivos,atmosphere,ambiente,ambiente,ambiance,Atmosphäre,ambiente
substantivos,ambulance,ambulância,ambulancia,ambulance,Krankenwagen,ambulanza
substantivos,peanut,amendoim,cacahuate,arachide,Erdnuss,arachide
substantivos,friends,amigos,amigas,amis,Freunde,amici
substantivos,analysis,análise,análisis,analyse,Analysis,analisi
substantivos,anatomy,anatomia,anatomía,anatomie,Anatomie,anatomia
substantivos,anniversary,aniversário,cumpleaños,anniversaire,Geburtstag,compleanno
substantivos,year,ano,año,an,Jahr,anno
substantivos,antiquity,antiguidade,antigüedad,ancienneté,Dienstalter,anzianità
substantivos,advertisement,anúncio,anuncio,annonce,Werbung,annuncio
substantivos,appetite,apetite,apetito,appétit,Appetit,appetito
substantivos,application,aplicativo,aplicación,application,Anwendung,applicazione
substantivos,acme,apogeu,apogeo,apogée,Apogäum,apogeo
substantivos,syllabus,apostila,apostilla,dossier,Apostille,libro di testo
substantivos,apprentice,aprendiz,aprendiz,apprenti,Lehrling,apprendista
substantivos,architecture,arquitectura,arquitectura,architecture,Architektur,architettura
substantivos,file,arquivo,archivo,fichier,Datei,archivio
substantivos,weapon,arma,arma,arme,Waffe,arma
substantivos,warehouse,armazém,almacén,entrepôt,Lager,magazzino
substantivos,commercial at,arroba,arroba,arrobase,Klammeraffe,chiocciola
substantivos,rice,arroz,arroz,riz,Reis,riso
substantivos,washer,arruela,arandela,rondelle,Scheibe,rondella
substantivos,artifact,artefato,artefacto,manufacture,Kunsterzeugnis,artefatto
substantivos,handicraft,artesanato,artesanía,artisanat,Handarbeit,artigianato
substantivos,arts,artes,artes,arts,Kunst,arte
substantivos,parliament,assembleia,Parlamento,assemblée,Parlament,parlamento
substantivos,settlement,assentamento,asentamiento,colonie,Ansiedlung,insediamento
substantivos,assist,assistência,asistencia,assistance,Dienst,promuovere
substantivos,membership,associação,unión,adhésion,Mitgliedschaft,associazione
substantivos,talk,assunto,asunto,chose,Affäre,affare
substantivos,star,astro,estrella,vedette,Promi,stella
substantivos,athlete,atleta,atleta,athlète,Athlet,atleta
substantivos,actor,actor,actor,acteur,Schauspieler,attrice
substantivos,portrayal,atuação,acción,performance,Aktion,azione
substantivos,address,aula,conferencia pública,conférence,Vortrag,lezione
substantivos,car,auto,máquina colloquial,voiture,Auto,auto
substantivos,autonomy,autonomia,autonomía,autonomie,Autonomie,autonomia
substantivos,author,autor,autora,auteur,Autorin,autore
substantivos,au pair,babá,nana,nounou,Erzieherin,baby-sitter
substantivos,flounce,babado,-,amoureux,-,ruche
substantivos,basin,alguidar,barreño,bassin,Becken,bacino
substantivos,bacillus,bacilo,bacilo,bacille,Bazillus,bacillo
substantivos,baggage,bagagem,equipaje,colis,Bagage,bagaglio
substantivos,ball,baile,baile,bal,Ball,ballo
substantivos,ball,bala,bala,balle,Kugel,pallottola
substantivos,aerostat,aeróstato,globo,aérostat,Ballon,palloncino
substantivos,bucket,balde,balde,seau,Eimer,secchia
substantivos,bank,banco,banco,banque,Bank,banca
substantivos,flag,bandeira,bandera,drapeau,Flagge,bandiera
substantivos,bathroom,banheiro,cuarto de baño,salle de bains,Badezimmer,bagno
substantivos,bath,banho,baño,bain,Baden,bagno
substantivos,cockroach,barata,cucaracha,blatte,Kakerlake,blatta
substantivos,boat,barco,barca,barque,Boot,barca
substantivos,argil,argila,arcilla,argile,Lehm,argilla
substantivos,hut,barraca,cabaña,cabane,Hütte,tenda
substantivos,abdomen,barriga,barriga,ventre,Bauch,pancia
substantivos,noise,barulho,ruido,bruit,Geräusch,chiasso
substantivos,bat,bastão,bat,bâton,Keule,barra
substantivos,potato,batata,papa,pomme de terre,Kartoffel,patata
substantivos,battery,bateria,batería,batterie,Artillerieeinheit,batteria
substantivos,babe,bebê,bebé,bébé,Baby,bebè
substantivos,kiss,beijo,beso,baiser,Kuß,bacio
substantivos,beauty,beleza,belleza,beauté,Schönheit,bellezza
substantivos,cane,bengala,bastón,canne,Spazierstock,bastone da passeggio
substantivos,bible,bíblia,biblia,Bible,Bibel,bibbia
substantivos,moustache,bigode,bigote,moustache,Schnurrbart,baffi
substantivos,ticket,bilhete,boleto,billet,Eintrittskarte,biglietto
substantivos,ball,bola,bola,balle,Ball,pallone
substantivos,cookie,bolacha,galleta,biscuit,Keks,biscotto
substantivos,pouch,bolsa,bolsa,poche,Beutel,sacchetto
substantivos,button,botão,botón,badge,Knopf,bottone
substantivos,goat,bode,cabra,chèvre,Geiß,capra
substantivos,cactus,cacto,cactaceae,cactus,Kaktus,cactus
substantivos,dog,cachorro,perro,chien,Hund,cane
substantivos,padlock,cadeado,candado,cadenas,Schloss,serratura
substantivos,coffee pot,cafeteira,cafetera,cafetière,Kaffeekanne,caffettiera
substantivos,coffee,café,café,café,Kaffee,caffè
substantivos,case,caixa,caja,écrin,Kiste,cassetta
substantivos,bat,cajado,cayado,houlette,Hirtenstab,pastorale
substantivos,trousers,calça,pantalones,pantalon,Hose,brache
substantivos,bed,cama,cama,lit,Bett,letto
substantivos,road,caminho,calle,route,Straßen,strada
substantivos,shirt,camisa,camisa,chemise,Bluse,camicia
substantivos,field,campo,campo,champ,Feld,campo
substantivos,mug,caneca,jarro,mug,Becher,conchiglia
substantivos,barrel,cano,cañón,tube,Rohr,condotto
substantivos,capybara,capivara,capibara,capibara,Capybara,Hydrochoerus hydrochaeris
substantivos,car,auto,máquina colloquial,voiture,Auto,auto
substantivos,meat,carne,carne,viande,Fleisch,carne
substantivos,closet,cartaz,armario,placard,Schrank,affisso
substantivos,coat,casaco,abrigo,manteau,Mantel,mantello
substantivos,marriage,casamento,unión,mariage,Heirat,matrimonio
substantivos,castle,castelo,castillo,château,Burg,castello
substantivos,bark,casca,corteza,écorce,Rinde,corteccia
substantivos,winch,catraca,molinete,tourniquet,Kettenrad,ruota dentata
substantivos,horse,cavalo,caballo,cheval,Pferd,cavalla
substantivos,onion,cebola,cebolla,oignon,Zwiebel,cipolla
substantivos,cell,cela,bartolina,cellule,Zelle,cella
substantivos,booth,barraca,cabina,kiosque,Scheune,granaio
substantivos,mobile phone,celular,móvil,téléphone cellulaire,Handy,cellulare
substantivos,carrot,cenoura,zanahória,carotte,Karotte,carota
substantivos,ceramic,cerâmica,ceramica,céramique,Keramik,ceramica
substantivos,brain,cérebro,cerebro,cerveau,Gehirn,cervello
substantivos,ale,cerveja,cerveza,bière,Bier,birra
substantivos,verge,cetro,cetro,baguette,Zepter,scettro
substantivos,kettle,bule,caldera,bouilloire,Kessel,bollitore
substantivos,hat,chapéu,sombrero,chapeau,Hut,cappello
substantivos,charm,charme,encanto,charme,Charme,attrattiva
substantivos,smell,cheiro,olor,odeur,Geruch,odore
substantivos,whip,açoite,fusta,fouet,Peitsche,frusta
substantivos,slipper,chinelo,zapatilla,chausson,Hausschuh,pantofola
substantivos,rain,chuva,lluvia,pluie,Regen,pioggia
substantivos,shower,chuveiro,ducha,douche,Dusche,doccia
substantivos,barbecue,churrasco,barbacoa,barbecue,Churrasco,barbecue
substantivos,circle,círculo,círculo,cercle,Kreis,cerchio
substantivos,figure,cifra,cifra,chiffre,Ziffer,cifra
substantivos,cicada,cigarra,Auchenorrhyncha,cigale,Zikade,cicala
substantivos,seam,cicatriz,alforza,cicatrice,Saum,cicatrice
substantivos,cement,cimento,cemento,ciment,Zement,cemento
substantivos,picture,cinema,cine,cinéma,Film,cinema
substantivos,city,cidade,ciudad,ville,Stadt,città
substantivos,belt,cinto,cinturón cinto,ceinture,Gürtel,cintola
substantivos,grey,cinza,gris,gris,grau,grigio
substantivos,civil,civil,civil,civil,Zivilberuf,civile
substantivos,clarity,clareza,claridad,clarté,Klarheit,chiarezza
substantivos,weather,clima,tiempo,temps,Wetter,clima
substantivos,account,cliente,cliente,client,Client,client
substantivos,clip,clipe,clip,agrafe,Büroklammer,gancetto
substantivos,cover,clone,clones,reprise,Cover,cloni
substantivos,club,clube,club,club,Klub,circolo
substantivos,cover,coberta,cobertor,couverture,Decke,coperta
substantivos,rabbit,coelho,conejo,lapin,Kaninchen,coniglio
substantivos,thing,coisa,cosa,chose,Ding,cosa
substantivos,spoon,colher,cuchara,cuillère,Löffel,cucchiaio
substantivos,category,coluna,epígrafe,rubrique,Rubrik,colonna
substantivos,administration,comando,gobierno,commandement,Befehl,comando
substantivos,food,alimento,alimento,alimentation,Essen,alimento
substantivos,computer,computador,ordenador,ordinateur,Computer,computer
substantivos,shell,casca,concha,coquillage,Muschel,conchiglia
substantivos,confetti,confete,lluvia de confeti,confetti,Konfetti,coriandoli
substantivos,knowledge,conhecimento,conocimiento,connaissance,Wissen,conoscenza
substantivos,agreement,contrato,contrato,contrat,Vertrag,contratto
substantivos,control,controle,control,contrôle,Kontrolle,controllo
substantivos,string,barbante,cordel,corde,Schnur,spago
substantivos,body,corpo,cuerpo,corps,Körper,corpo
substantivos,owl,coruja,búho,chouette,Eule,civetta
substantivos,sewing,costura,costura,couture,Falz,cucito
substantivos,leather,couro,cuero,cuir,Leder,cuoio
substantivos,child,criança,infante,enfant,Kind,bambina
substantivos,crystal,cristal,cristal,cristal,Kristall,cristallo
substantivos,cross,cruz,cruz,croix,Crux,croce
substantivos,data,dado,dado,dé,Würfel,dado
substantivos,apricot,abricoque,albaricoque,abricot,Aprikose,albicocca
substantivos,dance,dança,baile,danse,Tanz,ballo
substantivos,dart,dardo,dardo,dard,Speer,dardo
substantivos,queen,dama,reina,dame,Dame,regina
substantivos,debate,debate,debate,débat,Debatte,dibattito
substantivos,finger,dedo,dedo,doigt,Finger,dito
substantivos,bug,defeito,equivocación,bogue,Fehler,errore
substantivos,rung,degrau,grada,marche,Fahrt,gradino
substantivos,deity,deidade,deidad,dieu,Gottheit,Dio
substantivos,appeal,deleite,agrado,plaisir,Freude,piacere
substantivos,demand,demanda,demanda,exige,Bedarf,richiesta
substantivos,demon,demônio,demonio,démon,Dämon,demonio
substantivos,dentist,dentista,dentista,dentiste,Zahnarzt,dentista
substantivos,deposit,depósito,depósito,dépôt,Depot,tino-botte
substantivos,stroke,derrame,derrame,accident vasculaire cérébral,Schlag,versamento
substantivos,toon,desenho,dibujo,BD,Bild,disegno
substantivos,desert,deserto,desierto,désert,Wüste,deserto
substantivos,aggravation,aborrecimento,ofensa,offense,Beleidigung,schifo
substantivos,parade,desfile,desfile,défilé,Defilee,parata
substantivos,detail,detalhe,detalle,détail,Detail,dettaglio
substantivos,diadem,diadema,corona,diadème,Diadem,corona
substantivos,dialogue,diálogo,diálogo,dialogue,Dialog,dialogo
substantivos,diamond,diamante,diamante,diamant,Diamant,diamante
substantivos,daily,diarista,diario,femme de ménage,Tageszeitung,donna di servizio
substantivos,daily,diário,diario,journalier,täglich,giornaliero
substantivos,diet,dieta,régimen,diète,Diät,dieta
substantivos,difference,diferença,diferencia,différence,Andersartigkeit,differenza
substantivos,difficulty,dificuldade,dificultad,difficulté,Schwierigkeit,difficoltà
substantivos,money,dinheiro,efectivo,espèces,Bargeld,contanti
substantivos,dinosaur,dinossauro,dinosaurio,dinosaure,Dinosaurier,dinosauro
substantivos,path,direção,dirección,ligne,Bahn,direzione
substantivos,director,diretor,director,administrateur,Führer,regista
substantivos,disguise,disfarce,disfraz,déguisement,Maske,camuffamento
substantivos,circle,círculo,esfera,disque,Scheibe,sfera
substantivos,diva,diva,divo,prima donna,Primadonna,primadonna
substantivos,diversion,diversão,diversión,amusement,Belustigung,diversione
substantivos,divorce,divórcio,divorcio,divorce,Ehescheidung,divorzio
substantivos,donation,doação,donación,donation,Abgabe,donazione
substantivos,sweet,doce,dulce,doux,süß,dolce
substantivos,disease,doença,enfermedad,maladie,Krankheit,malattia
substantivos,act,acto,acta,document,Akt,atto
substantivos,gift,dom,don,don,Begabung,dote
substantivos,Sunday,domingo,domingo,dimanche,Sonntag,domenica
substantivos,grant,auxílio,donación,aide financière,Subvention,donazione
substantivos,bedroom,dormitório,alcoba,chambre,Schlafzimmer,camera
substantivos,dose,dose,dosis,contingent,Dosis,dose
substantivos,dragon,dragão,dragón,dragon,Drache,drago
substantivos,drama,drama,dramatización,théâtre,Drama,animazione teatrale
substantivos,shit,droga,carajo,merde,Doping,cazzo
substantivos,shower,ducha,ducha,douche,Dusche,doccia
substantivos,dubbing,dublagem,doblaje,doublage,Synchronisation,doppiaggio
substantivos,duel,duelo,duelo,duel,Duell,duello
substantivos,dune,duna,dunas,dune,Düne,dune
substantivos,couple,dupla,par,paire,Doppel,coppia
substantivos,duke,duque,duque,duc,Herzog,duca
substantivos,hardness,dureza,dureza,dureté,Härte,compattezza
substantivos,qualm,dúvida,escrupulo,scrupule,Bedenken,scrupolo
substantivos,echo,eco,eco,écho,Echo,eco
substantivos,building,edifício,edificio,bâtiment,Gebäude,edificio
substantivos,duvet,edredom,edredón,couette,Daunendecke,piumino
substantivos,effect,efeito,efecto,impression,Auswirkung,impressione
substantivos,horse,cavalo,caballo,jument,Pferd,cavallo
substantivos,threshing-floor,eira,era,aire,Tenne,aia
substantivos,axis,eixo,eje,axe,Achse,asse
substantivos,troop,companhia,tropa,troupe,Truppe,compagnia
substantivos,elephant,elefanta,elefante,éléphant,Elefant,elefante
substantivos,lift,elevador,ascensor,ascenseur,Lift,ascensore
substantivos,elite,elite,elite,élite,Elite,élite
substantivos,acclaim,elogio,alabanza,louange,Lob,lode
substantivos,package,embalagem,contenedores,conteneur,Behälter,contenitori
substantivos,ambassador,embaixador,embajador,ambassadeur,Botschafter,ambasciatore
substantivos,seam,cicatriz,accesorio,cicatrice,Saum,addizione
substantivos,broadcast,emissão,emisión,émission,Ausstrahlung,emissione
substantivos,affect,emoção,afecto,émotion,Mitleidenschaft,emozione
substantivos,pasty,empada,empanada,pâté,Pastete,pasticcio
substantivos,tie,empate,empate,match nul,Remis,pareggio
substantivos,work,emprego,cargo,service,Arbeitsplatz,divisione
substantivos,loan,empréstimo,préstamo,emprunt,Anleihe,richiesta di prestito
substantivos,spell,encantamento,encanto,charme,Zauberspruch,attrattiva
substantivos,flood,enchente,inundación,inondation,Flut,alluvione
substantivos,order,encomenda,mandato,commande,Bestellung,ordinazione
substantivos,address,endereço,dirección,adresse,Adresse,indirizzo
substantivos,energy,energia,energía,énergie,Energie,energia
substantivos,nurse,enfermeiro,enfermero,infirmier,Krankenschwester,infermiere
substantivos,mistake,engano,equivocación,erreur,Fehler,errore
substantivos,engineer,engenheiro,ingeniero,ingénieur,Ingenieur,ingegnere
substantivos,gear,engrenagem,engranage,engrenage,Schaltung,andamento
substantivos,feeling sick,enjoo,Ganas de vomitar,nausée,Nausea,nausea
substantivos,union,enlace,enlace,liaison,Bindung,binding
substantivos,intrigue,enredo,intriga,intrigue,Verwicklung,intreccio
substantivos,trial,ensaio,ensayo,dissertation,Probe,saggio
substantivos,stew,ensopado,ragú,ragoût,Ragout,inzuppato
substantivos,stepson,enteado,hijastro,beau-fils,Stiefsohn,figliastro
substantivos,burial,enterro,enterramiento,obsèques,Begräbnis,funerale
substantivos,entity,entidade,entidad,entité,Entität,entità
substantivos,mouth,boca,entrada,embouchure,Eingang Zutritt,imboccatùra
substantivos,debris,destroços,escombros,déblai,Schutt,cianfrusaglia
substantivos,envelope,envelope,cubierta,enveloppe,Briefumschlag,busta
substantivos,enzyme,enzima,enzima,enzyme,Enzym,enzima
substantivos,epidemic,epidemia,epidemia,épidémie,Epidemie,contagio
substantivos,episode,episódio,episodio,épisode,Episode,attacco
substantivos,epitaph,epitáfio,epitafio,épitaphe,Grabinschrift,epitaffio
substantivos,age,era,era,ère,Epoche,epoca
substantivos,eremite,eremita,eremita,ermite,Einsiedler,eremita
substantivos,mistake,engano,equivocación,erreur,Fehler,errore
substantivos,grass,erva,grama,herbe,Gras,erba
substantivos,design,esboço,boceto,esquisse,Entwurf,progetto
substantivos,stairs,escada,escalera,escalier,Treppe,scala
substantivos,scale,escama,escama,écaille,Schuppe,squama
substantivos,scarcity,escassez,Escasez,disette,Knappheit,deficit
substantivos,school,escola,escuela,école,Schule,scuola
substantivos,scorpion,escorpião,escorpión,scorpion,Skorpion,scorpiones
substantivos,defense,defesa,defensa,enseigne,Verteidigung,conchiglia
substantivos,sphinx,esfinge,esfinge,sphinx,Sphinx,sfinge
substantivos,effort,esforço,esfuerzo,effort,Aufwand,sforzo
substantivos,drain,esgoto,Aguas negras,Eau d’égoût,Sielwasser,acque di scolo
substantivos,sword,espada,espada,épée,Schwert,spada
substantivos,hope,esperança,esperanza,espoir,Hoffnung,speranza
substantivos,skewer,espeto,espiche,épieu,Spießen,spiedo
substantivos,mole,espiã,topo,taupe,Maulwurf,spia
substantivos,sponge,esponja,esponja,éponge,Schwamm,spugna
substantivos,skeleton,esqueleto,esqueleto,squelette,Gerippe,scheletro
substantivos,angle,esquina,esquina,coin,Ecke,angolo
substantivos,copy,estampa,estampa,image,Ansicht,illustrazione
substantivos,shelf,estante,estantería,rayonnage,Regal,scaffale
substantivos,star,estrela,estrella,étoile,Stern,stella
substantivos,manure,estrume,abono,fumier,Mist,letame
substantivos,step,etapa,paso,pas,Schritt,passo
substantivos,test,exame,test,examen,Examen,esame
substantivos,example,exemplo,ejemplo,exemple,Beispiel,esempio
substantivos,knife,faca,cuchilla,couteau,Messer,coltello
substantivos,fairy,fada,hada,fée,Fee Elfe,fata
substantivos,spark,faísca,chispa,étincelle,Funke,scintilla
substantivos,bug,defeito,fallo,bogue,Ausfall,errore
substantivos,freight,fardo,fardo,balle,Ballen,balla
substantivos,scent,faro,faro,phare,Spürsinn,faro
substantivos,slice,fatia,cicatriz,balafre,Einschnitt,taglio
substantivos,fauna,fauna,fauna,faune,Fauna,fauna
substantivos,fever,febre,fiebre,fièvre,Fieber,febbre
substantivos,fair,feira,feria,foire,Messe,fiera
substantivos,achievement,cumprimento,logro m,accomplissement m,Vollendung f,realizzazione f
substantivos,happiness,alegria,alegría,bonheur,Fröhlichkeit,felicità
substantivos,iron,ferro,hierro,fer,Eisen,ferro
substantivos,party,balada,carrete,fête,Feier,festa
substantivos,fig,figo,higo,figue,Feige,fico
substantivos,file,fila,fila,ligne,Reihe,coda
substantivos,film,filme,película,pelicule,Film,pellicola
substantivos,string,barbante,cordel,corde,Schnur,spago
substantivos,firm,firma,empresa,firme,Firma,ditta
substantivos,clasp,fivela,hebilla,boucle de vêtement,Schnalle,abbottonatura
substantivos,blossom,flor,flor,fleur,Blume,fiore
substantivos,seal,foca,foca,phoque,Robbe,foca
substantivos,fire,fogo,fuego,feu,Feuer,fuoco
substantivos,funnel,funil,embudo,entonnoir,Trichter,imbuto
substantivos,jail,gaiola,jaulas,geôle,Kerker,conigliere
substantivos,cock,galo,gallo,coq,Hahn,gallo
substantivos,fork,garfo,tenedor,fourchette,Gabel,forchetta
substantivos,gas,gás,gas,gaz,Gas,gas
substantivos,drawer,gaveta,cajón,tiroir,Schublade,cassetto
substantivos,throat,garganta,garganta,gorge,Kehle,gola
substantivos,galosh,galocha,chanclo,galoche,Galosche,caloscia
substantivos,whistle,apito,acerdeón,sifflet,Pfeife,fisarmonica
substantivos,gallery,galeria,corredor,couloir,Galerie,corridoio
substantivos,template,gabarito,plantilla,calibre,Schablone,mascherina
